UPN,Detected,Pile_Height,Top_X,Top_Y,Top_Z,Bot_X,Bot_Y,Bot_Z,Lean_East_Deg,Lean_North_Deg,Tracker_Slope_Pct,Elv_Dz_Deg,Abs_Elv_Dz,Bot_X_1ft,Bot_Y_1ft,Bot_Z_1ft
27186.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30270.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21896.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21924.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30269.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21923.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30268.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27185.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21922.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30267.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27184.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21921.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30266.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47600.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21920.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30265.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27183.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41106.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47795.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45263.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27065.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27064.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27077.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27063.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27061.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27060.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27059.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27058.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47592.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27057.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27056.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27055.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27054.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27053.0,True,4.063562000000047,2260876.314915,365953.69034749997,899.22402,2260876.29905,365953.66125,895.160458,0.22369362678095683,0.4102645534238718,2.7133604823097848,0.0,0.0,2260876.29905,365953.66125,895.160458
27052.0,True,4.016621819999955,2260876.2565519996,365927.164184,898.50426782,2260876.2596,365927.155432,894.487646,-0.04347870740537019,0.12484418271002085,3.7516837861921273,0.0,0.0,2260876.2596,365927.155432,894.487646
27051.0,True,4.285882700000002,2260876.2315720003,365900.45909,897.5023767,2260876.2812280003,365900.536742,893.216494,-0.6637960331610913,-1.0379764092549664,4.692946977771628,0.0,0.0,2260876.2812280003,365900.536742,893.216494
27050.0,True,4.092083050000042,2260876.277468,365874.074991,896.26418305,2260876.27385,365874.03929600003,892.1721,0.050657838083878914,0.49977504199112843,6.125293486426305,0.0,0.0,2260876.27385,365874.03929600003,892.1721
45264.0,True,4.349240120000104,2260876.281435,365847.572295,894.6408151200001,2260876.278244,365847.547052,890.291575,0.04203741021819951,0.33254110669231807,5.968277126272606,0.0,0.0,2260876.278244,365847.547052,890.291575
44020.0,True,4.189567879999913,2260876.117381,365797.5590815,891.65587188,2260876.128068,365797.52163,887.466304,-0.14615318139563271,0.5121663604305695,3.097799121838333,0.0,0.0,2260876.128068,365797.52163,887.466304
13028.0,True,4.508993319999945,2260876.0643125,365770.9472875,890.83149032,2260876.083664,365770.957292,886.322497,-0.24589800785116722,-0.12712697579524956,1.7415937805327735,0.0,0.0,2260876.083664,365770.957292,886.322497
13027.0,True,5.322075199999972,2260876.184142,365744.2369005,890.3662992,2260876.1940895002,365744.27520699997,885.044224,-0.1070915183560146,-0.41238854997224905,1.5667204844030995,0.0,0.0,2260876.1940895002,365744.27520699997,885.044224
13026.0,True,6.031302930000038,2260876.0515935,365717.733189,889.95105493,2260876.11339,365717.740428,883.919752,-0.5870298310289428,-0.06876854859832804,0.5779269258426587,0.0,0.0,2260876.11339,365717.740428,883.919752
13025.0,True,5.932354799999871,2260876.165542,365691.190436,889.7976557999999,2260876.1854680004,365691.188324,883.865301,-0.19244827219183946,0.020398085792905363,0.0,0.0,0.0,2260876.1854680004,365691.188324,883.865301
13024.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13023.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13036.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13053.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46521.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13068.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13054.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13082.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13081.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13080.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13079.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13078.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39620.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39619.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45267.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26969.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26968.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26967.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26966.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26965.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26964.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26963.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26962.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47594.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26961.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26960.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26959.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26958.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26957.0,True,3.857576859999881,2260895.8635875,365953.78520000004,899.06107786,2260895.83529,365953.81559,895.2035010000001,0.4202892934180511,-0.45136695406313265,2.085744635708201,0.0,0.0,2260895.83529,365953.81559,895.2035010000001
26956.0,True,3.66796032000002,2260895.9279,365927.16564599995,898.50586032,2260895.9079360003,365927.168206,894.8379,0.31184678479256434,-0.03998875721262607,3.3742377802288246,0.0,0.0,2260895.9079360003,365927.168206,894.8379
26955.0,True,3.9528976000000284,2260895.803658,365900.657944,897.6114176,2260895.80466,365900.64544,893.65852,-0.014523612609181669,0.1812402214940647,4.531600981857887,0.0,0.0,2260895.80466,365900.64544,893.65852
26954.0,True,4.348076919999926,2260895.7790320003,365874.0949,896.40768592,2260895.7783395,365874.0767765,892.059609,0.009125262274679358,0.23881685361287452,5.462693376228099,0.0,0.0,2260895.7783395,365874.0767765,892.059609
45268.0,True,4.360030579999943,2260895.7632195,365847.5569455,894.95799858,2260895.762058,365847.52542099997,890.597968,0.01526343410858999,0.4142607023165823,6.791197482229993,0.0,0.0,2260895.762058,365847.52542099997,890.597968
43767.0,True,4.045769739999969,2260895.690362,365797.61161200004,891.56610874,2260895.68305,365797.56535,887.520339,0.10355168459652475,0.6551291867598081,3.269572280207268,0.0,0.0,2260895.68305,365797.56535,887.520339
13077.0,True,4.347432200000071,2260895.6239,365770.9377,890.6939832,2260895.6160455,365770.9163715,886.346551,0.10351609443694088,0.2810908079366925,1.95344207459958,0.0,0.0,2260895.6160455,365770.9163715,886.346551
13076.0,True,5.479331219999949,2260895.61895,365744.322835,890.17407722,2260895.660848,365744.29622200003,884.694746,-0.43810671253336864,0.2782822441118924,0.9815773274814144,0.0,0.0,2260895.660848,365744.29622200003,884.694746
13075.0,True,5.909826500000008,2260895.72788,365717.74026,889.9131465,2260895.71807,365717.71379099996,884.00332,0.0951078837589705,0.256615291384648,0.008241617426555988,0.0,0.0,2260895.71807,365717.71379099996,884.00332
13074.0,True,6.069816739999965,2260895.7217699997,365691.0979175,889.91095074,2260895.717054,365691.10622200003,883.841134,0.04451647056275476,-0.07838992932850886,0.0,0.0,0.0,2260895.717054,365691.10622200003,883.841134
13073.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13072.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13071.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13070.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46522.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13083.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13069.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13067.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13066.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13065.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13064.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13063.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
